P	x1	T	y1	K1	K2	Gamma1	Gamma2
1	0	350,35259	0	4,431296	0,9999999	2,747499	1
1	0,05	346,1016	0,1739648	3,479295	0,8695108	2,521368	1,002592
1	0,1	343,20903	0,2858517	2,858517	0,7934981	2,309238	1,010529
1	0,15	341,16461	0,3636745	2,424497	0,7486182	2,117616	1,024004
1	0,2	339,67879	0,4211267	2,105633	0,7235917	1,947761	1,043225
1	0,25	338,57531	0,4656618	1,862647	0,712451	1,798697	1,068471
1	0,3	337,74124	0,5016929	1,67231	0,7118673	1,668598	1,10012
1	0,35	337,10165	0,5320255	1,520073	0,7199607	1,555424	1,138668
1	0,4	336,60568	0,5585656	1,396414	0,735724	1,457208	1,18475
1	0,45	336,21861	0,5826976	1,294884	0,7587313	1,372177	1,239153
1	0,5	335,91711	0,605505	1,21101	0,7889898	1,298781	1,30284
1	0,55	335,68646	0,6279068	1,141649	0,8268739	1,235699	1,376971
1	0,6	335,5189	0,6507552	1,084592	0,8731122	1,181818	1,462927
1	0,65	335,41279	0,6749135	1,038329	0,9288183	1,136214	1,562335
1	0,7	335,37239	0,7013308	1,001901	0,9955632	1,098124	1,677089
1	0,75	335,40817	0,7311254	0,9748338	1,075499	1,06693	1,809367
1	0,8	335,53762	0,7656901	0,9571126	1,17155	1,042132	1,961622
1	0,85	335,78657	0,8068434	0,9492275	1,287711	1,023333	2,136545
1	0,9	336,19134	0,8570501	0,9522779	1,429499	1,010215	2,336967
1	0,95	336,80164	0,9197672	0,968176	1,604655	1,002515	2,565659
1	1	337,68476	1	1	1,82426	1	2,824965
1,5	0	363,18547	0	4,416901	0,9999998	2,630036	1
1,5	0,05	358,5391	0,1743688	3,487376	0,8690855	2,430273	1,002424
1,5	0,1	355,34082	0,287625	2,87625	0,7915278	2,239624	1,009884
1,5	0,15	353,05605	0,3669625	2,446417	0,74475	2,064952	1,022608
1,5	0,2	351,37874	0,4258358	2,129179	0,7177053	1,908257	1,040831
1,5	0,25	350,12095	0,4716342	1,886537	0,7044877	1,76932	1,064849
